Date,Time,Latitude,Longitude,Spray
9/7/2011,7:52:52 PM,41.98143333,-87.78777667,1
9/7/2011,7:53:02 PM,41.98099833,-87.78777833,1
9/7/2011,7:53:12 PM,41.98056,-87.78776167,1
9/7/2011,7:53:22 PM,41.98019833,-87.78775833,1
9/7/2011,7:53:32 PM,41.97975167,-87.787765,1
9/7/2011,7:53:42 PM,41.97935167,-87.78775333,1
9/7/2011,7:53:52 PM,41.97885,-87.78776333,1
9/7/2011,7:54:02 PM,41.97839833,-87.78777333,1
9/7/2011,7:54:12 PM,41.97799,-87.78776,1
9/7/2011,7:54:22 PM,41.977495,-87.78777833,1
9/7/2011,7:55:42 PM,41.97537333,-87.78783667,1
9/7/2011,7:55:52 PM,41.97482333,-87.78784167,1
9/7/2011,7:56:02 PM,41.97428333,-87.78786667,1
9/7/2011,7:56:12 PM,41.97381,-87.78788,1
9/7/2011,7:56:22 PM,41.97335333,-87.78788,1
9/7/2011,7:56:32 PM,41.972905,-87.78789333,1
9/7/2011,7:56:42 PM,41.97244667,-87.78789333,1
9/7/2011,7:56:52 PM,41.97191833,-87.78792167,1
9/7/2011,7:57:02 PM,41.97138333,-87.78792833,1
9/7/2011,7:57:12 PM,41.97089833,-87.78792,1
9/7/2011,7:57:22 PM,41.9704,-87.78794667,1
9/7/2011,7:57:32 PM,41.96987,-87.78796167,1
9/7/2011,7:57:42 PM,41.96934,-87.78797833,1
9/7/2011,7:58:12 PM,41.96855333,-87.788695,1
9/7/2011,7:58:22 PM,41.96855667,-87.78910833,1
9/7/2011,7:58:32 PM,41.96876333,-87.78914833,1
9/7/2011,7:59:02 PM,41.96886667,-87.789165,1
9/7/2011,7:59:12 PM,41.969145,-87.78917667,1
9/7/2011,7:59:22 PM,41.96942167,-87.78920167,1
9/7/2011,7:59:32 PM,41.96969167,-87.78920333,1
9/7/2011,7:59:52 PM,41.97025333,-87.78924667,1
9/7/2011,8:00:02 PM,41.97064833,-87.78924333,1
9/7/2011,8:00:12 PM,41.97099667,-87.78923333,1
9/7/2011,8:00:22 PM,41.97138333,-87.789225,1
9/7/2011,8:00:32 PM,41.97171,-87.78922667,1
9/7/2011,8:00:42 PM,41.972065,-87.78924833,1
9/7/2011,8:00:52 PM,41.972455,-87.78924333,1
9/7/2011,8:01:02 PM,41.97281,-87.78924667,1
9/7/2011,8:01:12 PM,41.97314667,-87.78923667,1
9/7/2011,8:01:22 PM,41.97341833,-87.78921833,1
9/7/2011,8:01:42 PM,41.97410167,-87.78922833,1
9/7/2011,8:01:52 PM,41.97458667,-87.78921667,1
9/7/2011,8:02:02 PM,41.97494833,-87.78920833,1
9/7/2011,8:02:32 PM,41.97546667,-87.78917333,1
9/7/2011,8:02:42 PM,41.97595333,-87.78916,1
9/7/2011,8:03:02 PM,41.97642833,-87.78913833,1
9/7/2011,8:03:12 PM,41.97680667,-87.78914833,1
9/7/2011,8:03:22 PM,41.97719667,-87.78914,1
9/7/2011,8:03:32 PM,41.97752833,-87.78915667,1
9/7/2011,8:03:42 PM,41.97795833,-87.78915167,1
9/7/2011,8:03:52 PM,41.97835,-87.78916333,1
9/7/2011,8:04:02 PM,41.978745,-87.78914333,1
9/7/2011,8:04:12 PM,41.97916,-87.78913167,1
9/7/2011,8:04:32 PM,41.9799,-87.789125,1
9/7/2011,8:04:42 PM,41.98041333,-87.78911833,1
9/7/2011,8:05:02 PM,41.980715,-87.78970167,1
9/7/2011,8:05:12 PM,41.98075167,-87.79012,1
9/7/2011,8:05:22 PM,41.980585,-87.79022667,1
9/7/2011,8:05:32 PM,41.98025167,-87.79021333,1
9/7/2011,8:05:42 PM,41.97995,-87.79021833,1
9/7/2011,8:05:52 PM,41.97959667,-87.79020833,1
9/7/2011,8:06:02 PM,41.97931167,-87.790195,1
9/7/2011,8:06:12 PM,41.979005,-87.79020333,1
9/7/2011,8:06:22 PM,41.97863667,-87.79020167,1
9/7/2011,8:06:32 PM,41.97833167,-87.79019833,1
9/7/2011,8:06:52 PM,41.97771,-87.790205,1
9/7/2011,8:07:02 PM,41.97734333,-87.79021333,1
9/7/2011,8:07:22 PM,41.97710667,-87.79023667,1
9/7/2011,8:07:32 PM,41.97670667,-87.79022333,1
9/7/2011,8:07:42 PM,41.97629833,-87.79024,1
9/7/2011,8:07:52 PM,41.975905,-87.79025167,1
9/7/2011,8:08:02 PM,41.97558833,-87.79024167,1
9/7/2011,8:08:12 PM,41.97526,-87.790225,1
9/7/2011,8:08:22 PM,41.97480333,-87.79024667,1
9/7/2011,8:08:32 PM,41.97428,-87.79024333,1
9/7/2011,8:08:42 PM,41.973785,-87.790255,1
9/7/2011,8:08:52 PM,41.973175,-87.79026833,1
9/7/2011,8:09:02 PM,41.972635,-87.79028,1
9/7/2011,8:09:12 PM,41.97225833,-87.79029667,1
9/7/2011,8:09:22 PM,41.97170333,-87.79031333,1
9/7/2011,8:09:32 PM,41.97111,-87.79032167,1
9/7/2011,8:09:42 PM,41.97061667,-87.79034,1
9/7/2011,8:09:52 PM,41.970415,-87.79048833,1
9/7/2011,8:10:32 PM,41.97089833,-87.79150667,1
9/7/2011,8:10:42 PM,41.971325,-87.79150333,1
9/7/2011,8:10:52 PM,41.97179333,-87.791505,1
9/7/2011,8:11:02 PM,41.97223167,-87.79152167,1
9/7/2011,8:11:12 PM,41.97272333,-87.791525,1
9/7/2011,8:11:22 PM,41.97323833,-87.79152833,1
9/7/2011,8:11:32 PM,41.973685,-87.79153333,1
9/7/2011,8:11:42 PM,41.97424333,-87.791545,1
9/7/2011,8:11:52 PM,41.97473167,-87.79154,1
9/7/2011,8:12:02 PM,41.97523167,-87.791545,1
9/7/2011,8:12:32 PM,41.97568333,-87.79157667,1
9/7/2011,8:12:42 PM,41.976125,-87.79159667,1
9/7/2011,8:12:52 PM,41.97661,-87.79159,1
9/7/2011,8:13:02 PM,41.97706167,-87.791575,1
9/7/2011,8:13:12 PM,41.97745167,-87.79156167,1
9/7/2011,8:13:22 PM,41.97793667,-87.79154667,1
9/7/2011,8:13:32 PM,41.97843333,-87.79153667,1
9/7/2011,8:13:42 PM,41.97887,-87.79152833,1
9/7/2011,8:13:52 PM,41.978985,-87.79125,1
9/7/2011,8:14:02 PM,41.97900333,-87.79073833,1
9/7/2011,8:14:12 PM,41.97920833,-87.79035,1
9/7/2011,8:14:22 PM,41.97969833,-87.79034167,1
9/7/2011,8:14:32 PM,41.98018833,-87.790335,1
9/7/2011,8:14:42 PM,41.98065667,-87.79032833,1
9/7/2011,8:14:52 PM,41.980805,-87.79074167,1
9/7/2011,8:15:02 PM,41.98082167,-87.791435,1
9/7/2011,8:15:12 PM,41.98084167,-87.79205833,1
9/7/2011,8:15:42 PM,41.980405,-87.79262833,1
9/7/2011,8:17:22 PM,41.97766167,-87.79268167,1
9/7/2011,8:17:32 PM,41.9771,-87.79268,1
9/7/2011,8:17:42 PM,41.97654667,-87.79268833,1
9/7/2011,8:17:52 PM,41.97599667,-87.79270833,1
9/7/2011,8:18:02 PM,41.97558667,-87.79271,1
9/7/2011,8:18:12 PM,41.97513167,-87.79270167,1
9/7/2011,8:18:22 PM,41.97471167,-87.792675,1
9/7/2011,8:18:32 PM,41.97419,-87.79271,1
9/7/2011,8:18:42 PM,41.9737,-87.792705,1
9/7/2011,8:18:52 PM,41.97314833,-87.79272,1
9/7/2011,8:19:02 PM,41.97262833,-87.79273333,1
9/7/2011,8:19:12 PM,41.97220333,-87.79274,1
9/7/2011,8:19:22 PM,41.97169167,-87.79276,1
9/7/2011,8:19:32 PM,41.97112333,-87.79276667,1
9/7/2011,8:19:42 PM,41.970625,-87.79278167,1
9/7/2011,8:19:52 PM,41.97012667,-87.7928,1
9/7/2011,8:20:02 PM,41.969605,-87.79279167,1
9/7/2011,8:20:12 PM,41.969055,-87.79281,1
9/7/2011,8:20:42 PM,41.968615,-87.79304667,1
9/7/2011,8:20:52 PM,41.96859,-87.79384667,1
9/7/2011,8:21:02 PM,41.96878167,-87.79401667,1
9/7/2011,8:21:12 PM,41.96923833,-87.79403,1
9/7/2011,8:21:22 PM,41.96972167,-87.79401667,1
9/7/2011,8:21:32 PM,41.97017167,-87.794005,1
9/7/2011,8:21:42 PM,41.970575,-87.794015,1
9/7/2011,8:21:52 PM,41.971,-87.79401833,1
9/7/2011,8:22:02 PM,41.971445,-87.79401,1
9/7/2011,8:22:12 PM,41.971885,-87.79400333,1
9/7/2011,8:22:22 PM,41.97244167,-87.79401,1
9/7/2011,8:22:32 PM,41.97304333,-87.79398833,1
9/7/2011,8:22:52 PM,41.97410167,-87.79397333,1
9/7/2011,8:23:02 PM,41.97469,-87.79396,1
9/7/2011,8:23:12 PM,41.97515167,-87.79395333,1
9/7/2011,8:23:22 PM,41.975585,-87.79395167,1
9/7/2011,8:23:32 PM,41.97613,-87.79394333,1
9/7/2011,8:23:42 PM,41.97662,-87.79392667,1
9/7/2011,8:23:52 PM,41.97707,-87.79391667,1
9/7/2011,8:24:02 PM,41.97766333,-87.79391167,1
9/7/2011,8:24:12 PM,41.97813667,-87.79390167,1
9/7/2011,8:24:22 PM,41.97871667,-87.79391167,1
9/7/2011,8:24:32 PM,41.979255,-87.79390167,1
9/7/2011,8:24:42 PM,41.97979833,-87.79389833,1
9/7/2011,8:26:12 PM,41.97803,-87.79508167,1
9/7/2011,8:26:22 PM,41.97752167,-87.79509333,1
9/7/2011,8:26:32 PM,41.97702833,-87.79510667,1
9/7/2011,8:26:42 PM,41.976615,-87.79511333,1
9/7/2011,8:26:52 PM,41.97628667,-87.79512167,1
9/7/2011,8:27:02 PM,41.97585,-87.79514167,1
9/7/2011,8:27:12 PM,41.97550667,-87.79513,1
9/7/2011,8:27:22 PM,41.97506333,-87.79510333,1
9/7/2011,8:27:32 PM,41.97452667,-87.795105,1
9/7/2011,8:27:42 PM,41.97403833,-87.79510333,1
9/7/2011,8:27:52 PM,41.97354,-87.79512,1
9/7/2011,8:28:02 PM,41.97299167,-87.79513167,1
9/7/2011,8:28:12 PM,41.972425,-87.79514667,1
9/7/2011,8:28:22 PM,41.97185833,-87.79515833,1
9/7/2011,8:28:32 PM,41.97137,-87.79517167,1
9/7/2011,8:28:42 PM,41.97085,-87.79518333,1
9/7/2011,8:28:52 PM,41.97038,-87.79518167,1
9/7/2011,8:29:02 PM,41.969785,-87.795195,1
9/7/2011,8:29:12 PM,41.96921167,-87.79520333,1
9/7/2011,8:29:22 PM,41.968615,-87.79526833,1
9/7/2011,8:29:32 PM,41.96858,-87.796065,1
9/7/2011,8:29:42 PM,41.96876167,-87.79645,1
9/7/2011,8:29:52 PM,41.96927833,-87.79644333,1
9/7/2011,8:30:02 PM,41.96977833,-87.79644333,1
9/7/2011,8:30:12 PM,41.97018667,-87.79644667,1
9/7/2011,8:30:22 PM,41.97072,-87.79645333,1
9/7/2011,8:30:32 PM,41.97131667,-87.79644,1
9/7/2011,8:30:42 PM,41.97179167,-87.796445,1
9/7/2011,8:31:02 PM,41.97196833,-87.79724667,1
9/7/2011,8:31:12 PM,41.97201,-87.79759667,1
9/7/2011,8:31:22 PM,41.9725,-87.79760833,1
9/7/2011,8:31:32 PM,41.97295833,-87.79760833,1
9/7/2011,8:31:42 PM,41.97349667,-87.79761333,1
